ћарка;—сылка;÷ена в USD;÷ена в UAH;√ород
Volkswagen Caddy пасс. 20212.0 TDI MT (102 к.с.) SCR/AdB;https://auto.ria.com/newauto/auto-volkswagen-caddy-pass-1883272.html;27 793 $;908 000 грн;’мельницький
Volkswagen Touareg 2022R-Line 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883233.html;81 833 $;2 673 496 грн;∆итомир
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883188.html;23 416 $;765 000 грн;∆итомир
Volkswagen Arteon Shooting Brake 2021R-Line 2.0 TSI DSG (280 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-arteon-shooting-brake-1883154.html;59 487 $;1 740 233 грн;ƒн≥про (ƒн≥пропетровськ)
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883057.html;29 507 $;963 990 грн;≤вано-‘ранк≥вськ
Volkswagen T6 (Transporter) груз 2022Pro 2.0 TDI MT (110 к.с.) L1H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-gruz-1883179.html;31 243 $;1 020 700 грн;≤вано-‘ранк≥вськ
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883058.html;26 843 $;876 965 грн;≤вано-‘ранк≥вськ
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882922.html;26 509 $;29 602 $;Ћьв≥в
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882925.html;25 867 $;28 886 $;Ћьв≥в
Volkswagen T-Cross 2022Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882826.html;23 073 $;753 800 грн;„ерн≥вц≥
Volkswagen Touareg 2021R-Line 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1882685.html;83 000 $;2 490 000 грн;Ћуцьк
Volkswagen Passat 2021Elegance 2.0 TDI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1882684.html;47 700 $;1 431 000 грн;Ћуцьк
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1872457.html;27 992 $;914 499 грн;ѕолтава
Volkswagen Tiguan 2021Elegance 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1881248.html;48 425 $;1 582 045 грн;ѕолтава
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1879253.html;26 936 $;880 000 грн;∆итомир
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1872708.html;22 146 $;723 500 грн;¬≥нниц€
Volkswagen Touareg 2022R-Line 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1882330.html;85 000 $;2 776 950 грн;ѕолтава
Volkswagen Arteon 2021R-Line 2.0 TDI DSG (200 к.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1866328.html;49 740 $;1 625 000 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1872122.html;28 829 $;941 850 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1848742.html;26 171 $;28 490 $;¬≥нниц€
Volkswagen Golf 2022Life 1.6 MPI AT (110 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1871112.html;23 875 $;780 000 грн;¬≥нниц€
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1872590.html;22 923 $;748 905 грн;’мельницький
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883410.html;29 621 $;968 000 грн;“ерноп≥ль
Volkswagen Touareg 2022Elegance 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883365.html;73 416 $;2 398 500 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883382.html;27 183 $;888 060 грн;”жгород
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883284.html;29 630 $;968 000 грн;“ерноп≥ль
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883275.html;26 385 $;862 000 грн;’мельницький
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883280.html;26 997 $;882 000 грн;’мельницький
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883273.html;21 518 $;703 000 грн;’мельницький
Volkswagen Touareg 2022Elegance 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883314.html;73 500 $;2 401 245 грн;„ерн≥вц≥
Volkswagen T6 (Transporter) груз 2019ND 2.0 TDI MT (110 к.с.) L2H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-gruz-1883278.html;36 200 $;1 182 654 грн;„ерн≥вц≥
Volkswagen Touareg 2022Ambience 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883242.html;73 131 $;2 389 174 грн;Ћьв≥в
Volkswagen Touareg 2022R-Line 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883248.html;76 113 $;2 486 600 грн;≤вано-‘ранк≥вськ
Volkswagen Touareg 2021R-Line 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883212.html;79 731 $;2 604 810 грн;”жгород
Volkswagen Touareg 2021Ambience 3.0 TDI AT (285 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883204.html;73 309 $;75 581 $;“ерноп≥ль
Volkswagen Golf 2021Life 1.6 MPI AT (110 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1883185.html;24 815 $;810 700 грн;“ерноп≥ль
Volkswagen Multivan 2021Bulli 2.0 TDI DSG (199 к.с.) 4x4 LR;https://auto.ria.com/newauto/auto-volkswagen-multivan-1883187.html;90 000 $;2 940 300 грн;„ерн≥вц≥
Volkswagen Passat 2022Highline 2.0 TSI 7-DSG (190 к.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1883158.html;37 764 $;1 233 750 грн;”жгород
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883177.html;29 743 $;971 700 грн;”жгород
Volkswagen Touareg 2022R-Line 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883107.html;78 206 $;2 555 000 грн;Ћьв≥в
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883075.html;29 630 $;968 000 грн;“ерноп≥ль
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882930.html;29 315 $;32 742 $;Ћьв≥в
Volkswagen Golf 2021GTI GTI 2.0 TSI DSG (245 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1882943.html;38 007 $;42 442 $;Ћьв≥в
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882924.html;29 160 $;32 573 $;Ћьв≥в
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882928.html;25 511 $;28 490 $;Ћьв≥в
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882939.html;23 899 $;26 699 $;Ћьв≥в
Volkswagen Touareg 2021Ambience 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1882559.html;73 309 $;78 500 $;“ерноп≥ль
Volkswagen Tiguan 2021Elegance 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1882875.html;40 118 $;1 310 652 грн;”жгород
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882926.html;25 522 $;28 511 $;Ћьв≥в
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882931.html;29 339 $;32 764 $;Ћьв≥в
Volkswagen T-Cross 2022Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882935.html;26 635 $;29 752 $;Ћьв≥в
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882866.html;24 449 $;799 000 грн;≤вано-‘ранк≥вськ
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882885.html;26 162 $;854 700 грн;”жгород
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882867.html;26 018 $;850 000 грн;≤вано-‘ранк≥вськ
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882696.html;32 800 $;984 000 грн;Ћуцьк
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882682.html;29 700 $;891 000 грн;Ћуцьк
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1865199.html;26 961 $;30 102 $;’мельницький
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1872132.html;29 205 $;954 127 грн;ѕолтава
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1858804.html;30 070 $;982 400 грн;¬≥нниц€
Volkswagen Tiguan 2021Elegance 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1881490.html;45 148 $;48 898 $;∆итомир
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1868817.html;30 630 $;1 000 988 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1880545.html;26 323 $;27 746 $;’мельницький
Volkswagen Touareg 2022R-Line 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1871565.html;79 500 $;2 597 265 грн;„ерн≥вц≥
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1872171.html;24 120 $;788 000 грн;“ерноп≥ль
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1850476.html;27 444 $;896 600 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1877012.html;26 018 $;850 000 грн;’мельницький
Volkswagen Tiguan 2021Elegance 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1872700.html;42 580 $;1 391 100 грн;¬≥нниц€
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1864999.html;29 772 $;972 949 грн;ѕолтава
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1873217.html;26 018 $;29 226 $;“ерноп≥ль
Volkswagen T-Roc 2022Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1881649.html;28 886 $;943 706 грн;ѕолтава
Volkswagen Golf 2021R-Line 1.4 TSI AT (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1861149.html;30 609 $;1 000 000 грн;∆итомир
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1868040.html;21 426 $;22 338 $;∆итомир
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1871319.html;23 416 $;765 000 грн;∆итомир
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1865199.html;26 961 $;30 102 $;’мельницький
Volkswagen Arteon 2021R-Line 2.0 TDI DSG (200 к.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1861944.html;49 740 $;1 625 000 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1877742.html;29 314 $;957 700 грн;≤вано-‘ранк≥вськ
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1881150.html;29 329 $;958 466 грн; ропивницький ( ≥ровоград)
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1880749.html;29 336 $;958 400 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1880586.html;28 800 $;941 200 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882023.html;29 296 $;957 700 грн;≤вано-‘ранк≥вськ
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882228.html;22 943 $;750 000 грн;≤вано-‘ранк≥вськ
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882480.html;27 426 $;896 000 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1872673.html;30 080 $;983 000 грн;¬≥нниц€
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1876772.html;22 926 $;749 001 грн;’мельницький
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1881149.html;28 804 $;941 300 грн; ропивницький ( ≥ровоград)
Volkswagen T-Roc 2021Individual 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1832149.html;26 517 $;866 580 грн;¬≥нниц€
Volkswagen Multivan 2022Bulli 2.0 TDI DSG (199 к.с.) 4x4 LR;https://auto.ria.com/newauto/auto-volkswagen-multivan-1877944.html;90 000 $;2 940 300 грн;„ерн≥вц≥
Volkswagen Touareg 2021Ambience 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1882241.html;78 500 $;2 564 595 грн;“ерноп≥ль
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1875649.html;25 965 $;848 540 грн;’мельницький
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882108.html;26 900 $;878 823 грн;“ерноп≥ль
